model,query_patent,query_title,query_cpc_subclass,rank,retrieved_patent,retrieved_title,retrieved_cpc_subclass,similarity,same_cpc
PaECTER,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,2,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.8950008153915405,True
PaECTER,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,3,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.8885462284088135,True
PaECTER,9900229.0,Network-Connectivity Detection,H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.9399619698524475,True
PaECTER,9900229.0,Network-Connectivity Detection,H04L,2,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,0.9166908860206604,False
PaECTER,9900229.0,Network-Connectivity Detection,H04L,3,9578036.0,Access Revocation,G06F,0.9114923477172852,False
PaECTER,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,1,9578036.0,Access Revocation,G06F,0.9335060119628906,False
PaECTER,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,2,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,0.9049496054649353,False
PaECTER,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,3,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.9002343416213989,True
PaECTER,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,1,9900229.0,Network-Connectivity Detection,H04L,0.9053365588188171,True
PaECTER,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,2,9578036.0,Access Revocation,G06F,0.8976361155509949,False
PaECTER,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,3,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.8966642618179321,True
PaECTER,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.9099065661430359,True
PaECTER,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,2,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,0.8984938263893127,False
PaECTER,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,3,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,0.883015513420105,True
PaECTER,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,1,9900229.0,Network-Connectivity Detection,H04L,0.9399619698524475,True
PaECTER,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,2,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,0.9099065661430359,True
PaECTER,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,3,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,0.9056820273399353,False
