model,query_patent,query_title,query_cpc_subclass,rank,retrieved_patent,retrieved_title,retrieved_cpc_subclass,similarity,same_cpc
all-mpnet-base-v2,,Methods of Treating Diseases,G06F,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.38488420844078064,False
all-mpnet-base-v2,,Methods of Treating Diseases,G06F,2,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.34328845143318176,True
all-mpnet-base-v2,,Methods of Treating Diseases,G06F,3,9900229.0,Network-Connectivity Detection,H04L,0.33275777101516724,False
all-mpnet-base-v2,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,1,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.4378020465373993,True
all-mpnet-base-v2,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.4215972125530243,True
all-mpnet-base-v2,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,3,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.3214223384857178,True
all-mpnet-base-v2,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,1,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.3929087221622467,True
all-mpnet-base-v2,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.3832499086856842,True
all-mpnet-base-v2,,SUBSTRATE FOR ORGANIC ELECTRONIC DEVICE,H01L,3,,SEMANTIC STRUCTURE SEARCH DEVICE AND SEMANTIC STRUCTURE SEARCH METHOD,G06F,0.3402245044708252,False
all-mpnet-base-v2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,1,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.4520373046398163,True
all-mpnet-base-v2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,2,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,0.4215972125530243,True
all-mpnet-base-v2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,3,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.4111461639404297,True
all-mpnet-base-v2,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,1,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,0.4776853919029236,True
all-mpnet-base-v2,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,2,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.4520373046398163,True
all-mpnet-base-v2,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,3,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,0.3214223384857178,True
all-mpnet-base-v2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,1,,METHOD OF FORMING SOLDER BUMPS ON SOLID STATE MODULE INCLUDING PRINTED CIRUCUIT BOARD,H01L,0.4776853919029236,True
all-mpnet-base-v2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,2,9443841.0,ELECTROSTATIC DISCHARGE PROTECTION STRUCTURE CAPABLE OF PREVENTING LATCH-UP ISSUE CAUSED BY UNEXPECTED NOISE,H01L,0.4378020465373993,True
all-mpnet-base-v2,9425060.0,Method for Fabricating Multiple Layers of Ultra Narrow Silicon Wires,H01L,3,9793221.0,SEMICONDUCTOR DEVICE MOUNTING METHOD,H01L,0.4111461639404297,True
all-mpnet-base-v2,9900229.0,Network-Connectivity Detection,H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.463279128074646,True
all-mpnet-base-v2,9900229.0,Network-Connectivity Detection,H04L,2,,Methods of Treating Diseases,G06F,0.33275777101516724,False
all-mpnet-base-v2,9900229.0,Network-Connectivity Detection,H04L,3,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,0.30594080686569214,True
all-mpnet-base-v2,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.36553311347961426,True
all-mpnet-base-v2,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,2,9578036.0,Access Revocation,G06F,0.3304362893104553,False
all-mpnet-base-v2,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,3,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,0.3121182322502136,False
all-mpnet-base-v2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.39198267459869385,True
all-mpnet-base-v2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,2,9900229.0,Network-Connectivity Detection,H04L,0.30594080686569214,True
all-mpnet-base-v2,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,3,,"POWER-SAVING CONTROL SYSTEM, CONTROL DEVICE, CONTROL METHOD, AND CONTROL PROGRAM FOR SERVER EQUIPPED WITH NON-VOLATILE MEMORY",G06F,0.3032490909099579,False
all-mpnet-base-v2,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,1,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,0.4772017300128937,True
all-mpnet-base-v2,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,2,9830464.0,FORMAT PRESERVING ENCRYPTION,H04L,0.2803727388381958,True
all-mpnet-base-v2,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,3,9983897.0,MAINTAINING VIRTUAL MACHINES FOR CLOUD-BASED OPERATORS IN A STREAMING APPLICATION IN A READY STATE,G06F,0.2659686803817749,False
all-mpnet-base-v2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,1,9930383.0,"APPARATUS FOR TRANSMITTING BROADCAST SIGNALS, APPARATUS FOR RECEIVING BROADCAST SIGNALS, METHOD FOR TRANSMITTING BROADCAST SIGNALS AND METHOD FOR RECEIVING BROADCAST SIGNALS",H04L,0.4772017300128937,True
all-mpnet-base-v2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,2,9900229.0,Network-Connectivity Detection,H04L,0.463279128074646,True
all-mpnet-base-v2,,"DATA PROCESSING DEVICE, DATA COMMUNICATION DEVICE, COMMUNICATION SYSTEM, DATA PROCESSING METHOD, DATA COMMUNICATION METHOD, AND PROGRAM",H04L,3,9774467.0,Distributed Intelligent Modules System Using Power-line Communication for Electrical Appliance Automation,H04L,0.39198267459869385,True
